handle,text,url
"varia_amazon,RT @Kenzii_LostGirl: Need a #trick #hale #hail #dyson #tamsin #lauren #morgan,"
"Kenzii_LostGirl,Need a #trick #hale #hail #dyson #tamsin #lauren #morgan,"
"Aboazziz,#Ø¬Ù†ÙŠÙ  #geneve #hail  Ø¨Ø¹Ø¯ Ø«Ù„Ø§Ø«Ø© Ø£ÙŠØ§Ù… Ø­Ø± ØªØºÙŠØ± Ø§Ù„Ø¬Ùˆ ÙˆÙ‡Ø¨Øª Ø¹Ø§ØµÙØ© Ù…Ù„ÙŠØ¦Ø© Ø¨Ø§Ù„Ø¨Ø±Ø¯ Ø¨Ø¯Ø¬Ù… ÙƒØ±Ø© Ø§Ù„Ù‚ÙˆÙ„Ù @ GenÃ¨ve /â€¦ http://t.co/5TW4950fSg,http://t.co/gr795ylTd2"
"cruznamir,Hey Rtrizzle, can I get an invite to your wedding this Summer? #YourBiggestFan #Hail @RGIII,http://t.co/kUjNNapMYg"
"new_einstein,donk ... donk ... #thunderstorm #hail #ouch http://t.co/T6j0Ovyu8F,http://t.co/UgYZgbfeM5"
"RoofBrokersInc,http://t.co/r171jVA4uT #hail #colorado #roofer #roof,http://t.co/wcuOscoS"
"marianettle,Summer storm! #rain #thunder #hail https://t.co/lKtXgIyfyn,"
"choltan,Sitting next to young woman on plane with a @Redskins snuggie on. Definitely on my way home! #RVA #hail,http://t.co/5ZmsCs39pQ"
"jonathan_daza1,June 20th 2013 I witness the weather go from 92 degrees to hailing WOWZER  only in Germany :/ #hailâ€¦ http://t.co/sUMU4JKiPi,"
"Krim_in_life,GrÃ¨le la veille de l'Ã©tÃ© âš¡â˜” #hail #geneva @Aicha_Guim #storm ğŸ˜œ,"
